,,,"Three or more family household: One parent family",0,
,,,"Three or more family household: Other family",0,
,,,"Lone person household",0,
,,,"Group household",3,
,"Ivanhoe","One person","One family household: Couple family with no children",0,
,,,"One family household: Couple family with children",0,
,,,"One family household: One parent family",0,
,,,"One family household: Other family",0,
,,,"Two family household: Couple family with no children",0,
,,,"Two family household: Couple family with children",0,
,,,"Two family household: One parent family",0,
,,,"Two family household: Other family",0,
,,,"Three or more family household: Couple family with no children",0,
,,,"Three or more family household: Couple family with children",0,
,,,"Three or more family household: One parent family",0,
,,,"Three or more family household: Other family",0,
,,,"Lone person household",1192,
,,,"Group household",0,
,,"Two persons","One family household: Couple family with no children",887,
,,,"One family household: Couple family with children",0,
,,,"One family household: One parent family",188,
,,,"One family household: Other family",57,
,,,"Two family household: Couple family with no children",0,
,,,"Two family household: Couple family with children",0,
,,,"Two family household: One parent family",0,
,,,"Two family household: Other family",0,
,,,"Three or more family household: Couple family with no children",0,
,,,"Three or more family household: Couple family with children",0,
,,,"Three or more family household: One parent family",0,
,,,"Three or more family household: Other family",0,
,,,"Lone person household",0,
,,,"Group household",136,
,,"Three persons","One family household: Couple family with no children",43,
,,,"One family household: Couple family with children",438,
,,,"One family household: One parent family",115,
,,,"One family household: Other family",6,
,,,"Two family household: Couple family with no children",0,
,,,"Two family household: Couple family with children",0,
,,,"Two family household: One parent family",0,
,,,"Two family household: Other family",0,
,,,"Three or more family household: Couple family with no children",0,
,,,"Three or more family household: Couple family with children",0,
,,,"Three or more family household: One parent family",0,
,,,"Three or more family household: Other family",0,
,,,"Lone person household",0,
,,,"Group household",40,
,,"Four persons","One family household: Couple family with no children",3,
,,,"One family household: Couple family with children",708,
,,,"One family household: One parent family",41,
,,,"One family household: Other family",4,
,,,"Two family household: Couple family with no children",6,
,,,"Two family household: Couple family with children",0,
,,,"Two family household: One parent family",11,
,,,"Two family household: Other family",0,
,,,"Three or more family household: Couple family with no children",0,
,,,"Three or more family household: Couple family with children",0,
,,,"Three or more family household: One parent family",0,
,,,"Three or more family household: Other family",0,
,,,"Lone person household",0,
,,,"Group household",14,
,,"Five persons","One family household: Couple family with no children",0,
,,,"One family household: Couple family with children",241,
,,,"One family household: One parent family",14,
,,,"One family household: Other family",0,
,,,"Two family household: Couple family with no children",0,
,,,"Two family household: Couple family with children",5,
,,,"Two family household: One parent family",0,
,,,"Two family household: Other family",0,
,,,"Three or more family household: Couple family with no children",0,
,,,"Three or more family household: Couple family with children",0,
,,,"Three or more family household: One parent family",0,
,,,"Three or more family household: Other family",0,
,,,"Lone person household",0,
,,,"Group household",5,
,,"Six persons","One family household: Couple family with no children",0,
,,,"One family household: Couple family with children",43,
,,,"One family household: One parent family",0,
,,,"One family household: Other family",0,
,,,"Two family household: Couple family with no children",5,
,,,"Two family household: Couple family with children",11,
,,,"Two family household: One parent family",0,
,,,"Two family household: Other family",0,
,,,"Three or more family household: Couple family with no children",0,
,,,"Three or more family household: Couple family with children",0,
,,,"Three or more family household: One parent family",0,
,,,"Three or more family household: Other family",0,
,,,"Lone person household",0,
,,,"Group household",0,
,,"Seven persons","One family household: Couple family with no children",0,
,,,"One family household: Couple family with children",4,
,,,"One family household: One parent family",0,
,,,"One family household: Other family",0,
,,,"Two family household: Couple family with no children",0,
,,,"Two family household: Couple family with children",5,
,,,"Two family household: One parent family",0,
,,,"Two family household: Other family",0,
,,,"Three or more family household: Couple family with no children",0,
,,,"Three or more family household: Couple family with children",0,
,,,"Three or more family household: One parent family",0,
,,,"Three or more family household: Other family",0,
,,,"Lone person household",0,
,,,"Group household",0,
,,"Eight or more persons","One family household: Couple family with no children",0,
,,,"One family household: Couple family with children",3,
,,,"One family household: One parent family",0,
,,,"One family household: Other family",0,
,,,"Two family household: Couple family with no children",0,
,,,"Two family household: Couple family with children",0,
,,,"Two family household: One parent family",0,
,,,"Two family household: Other family",0,
,,,"Three or more family household: Couple family with no children",0,
,,,"Three or more family household: Couple family with children",0,
,,,"Three or more family household: One parent family",0,
,,,"Three or more family household: Other family",0,
,,,"Lone person household",0,
,,,"Group household",0,
,"Ivanhoe East - Eaglemont","One person","One family household: Couple family with no children",0,
,,,"One family household: Couple family with children",0,
,,,"One family household: One parent family",0,
,,,"One family household: Other family",0,
,,,"Two family household: Couple family with no children",0,
,,,"Two family household: Couple family with children",0,
,,,"Two family household: One parent family",0,
,,,"Two family household: Other family",0,
,,,"Three or more family household: Couple family with no children",0,
,,,"Three or more family household: Couple family with children",0,
,,,"Three or more family household: One parent family",0,
,,,"Three or more family household: Other family",0,
,,,"Lone person household",557,
,,,"Group household",0,
,,"Two persons","One family household: Couple family with no children",597,
,,,"One family household: Couple family with children",0,
,,,"One family household: One parent family",101,
,,,"One family household: Other family",24,
,,,"Two family household: Couple family with no children",0,
,,,"Two family household: Couple family with children",0,
,,,"Two family household: One parent family",0,
,,,"Two family household: Other family",0,
,,,"Three or more family household: Couple family with no children",0,
,,,"Three or more family household: Couple family with children",0,
,,,"Three or more family household: One parent family",0,
,,,"Three or more family household: Other family",0,
,,,"Lone person household",0,
,,,"Group household",46,
,,"Three persons","One family household: Couple family with no children",13,
,,,"One family household: Couple family with children",362,
,,,"One family household: One parent family",66,
,,,"One family household: Other family",8,
,,,"Two family household: Couple family with no children",0,
,,,"Two family household: Couple family with children",0,
,,,"Two family household: One parent family",0,
,,,"Two family household: Other family",0,
,,,"Three or more family household: Couple family with no children",0,
,,,"Three or more family household: Couple family with children",0,
,,,"Three or more family household: One parent family",0,
,,,"Three or more family household: Other family",0,
,,,"Lone person household",0,
,,,"Group household",12,
,,"Four persons","One family household: Couple family with no children",0,
,,,"One family household: Couple family with children",537,
,,,"One family household: One parent family",26,
,,,"One family household: Other family",0,
,,,"Two family household: Couple family with no children",6,
,,,"Two family household: Couple family with children",0,
,,,"Two family household: One parent family",5,
,,,"Two family household: Other family",0,
,,,"Three or more family household: Couple family with no children",0,
,,,"Three or more family household: Couple family with children",0,
,,,"Three or more family household: One parent family",0,
,,,"Three or more family household: Other family",0,
,,,"Lone person household",0,
,,,"Group household",6,
,,"Five persons","One family household: Couple family with no children",0,
,,,"One family household: Couple family with children",242,
,,,"One family household: One parent family",3,
,,,"One family household: Other family",0,
,,,"Two family household: Couple family with no children",0,
,,,"Two family household: Couple family with children",4,
,,,"Two family household: One parent family",3,
,,,"Two family household: Other family",0,
,,,"Three or more family household: Couple family with no children",0,
,,,"Three or more family household: Couple family with children",0,
,,,"Three or more family household: One parent family",0,
,,,"Three or more family household: Other family",0,
,,,"Lone person household",0,
,,,"Group household",0,
,,"Six persons","One family household: Couple family with no children",0,
,,,"One family household: Couple family with children",43,
,,,"One family household: One parent family",0,
,,,"One family household: Other family",0,
,,,"Two family household: Couple family with no children",0,
,,,"Two family household: Couple family with children",6,
,,,"Two family household: One parent family",0,
,,,"Two family household: Other family",0,
,,,"Three or more family household: Couple family with no children",0,
,,,"Three or more family household: Couple family with children",0,
,,,"Three or more family household: One parent family",0,
,,,"Three or more family household: Other family",0,
,,,"Lone person household",0,
,,,"Group household",0,
,,"Seven persons","One family household: Couple family with no children",0,
,,,"One family household: Couple family with children",7,
,,,"One family household: One parent family",0,
,,,"One family household: Other family",0,
,,,"Two family household: Couple family with no children",0,
,,,"Two family household: Couple family with children",0,
,,,"Two family household: One parent family",0,
,,,"Two family household: Other family",0,
,,,"Three or more family household: Couple family with no children",0,
,,,"Three or more family household: Couple family with children",0,
,,,"Three or more family household: One parent family",0,
,,,"Three or more family household: Other family",0,
,,,"Lone person household",0,
,,,"Group household",0,
,,"Eight or more persons","One family household: Couple family with no children",0,
,,,"One family household: Couple family with children",0,
,,,"One family household: One parent family",0,
,,,"One family household: Other family",0,
,,,"Two family household: Couple family with no children",0,
,,,"Two family household: Couple family with children",0,
,,,"Two family household: One parent family",0,
,,,"Two family household: Other family",0,
,,,"Three or more family household: Couple family with no children",0,
,,,"Three or more family household: Couple family with children",0,
,,,"Three or more family household: One parent family",0,
,,,"Three or more family household: Other family",0,
,,,"Lone person household",0,
,,,"Group household",0,
,"Montmorency - Briar Hill","One person","One family household: Couple family with no children",0,
,,,"One family household: Couple family with children",0,
,,,"One family household: One parent family",0,
,,,"One family household: Other family",0,
,,,"Two family household: Couple family with no children",0,
,,,"Two family household: Couple family with children",0,
,,,"Two family household: One parent family",0,
,,,"Two family household: Other family",0,
,,,"Three or more family household: Couple family with no children",0,
,,,"Three or more family household: Couple family with children",0,
,,,"Three or more family household: One parent family",0,
,,,"Three or more family household: Other family",0,
,,,"Lone person household",1452,
,,,"Group household",0,
,,"Two persons","One family household: Couple family with no children",1539,
,,,"One family household: Couple family with children",0,
,,,"One family household: One parent family",357,
,,,"One family household: Other family",53,
,,,"Two family household: Couple family with no children",0,
,,,"Two family household: Couple family with children",0,
,,,"Two family household: One parent family",0,
,,,"Two family household: Other family",0,
,,,"Three or more family household: Couple family with no children",0,
,,,"Three or more family household: Couple family with children",0,
,,,"Three or more family household: One parent family",0,
,,,"Three or more family household: Other family",0,
,,,"Lone person household",0,
,,,"Group household",133,
,,"Three persons","One family household: Couple family with no children",36,
,,,"One family household: Couple family with children",651,
,,,"One family household: One parent family",223,
,,,"One family household: Other family",12,
,,,"Two family household: Couple family with no children",0,
,,,"Two family household: Couple family with children",0,
,,,"Two family household: One parent family",0,
,,,"Two family household: Other family",0,
,,,"Three or more family household: Couple family with no children",0,
,,,"Three or more family household: Couple family with children",0,
,,,"Three or more family household: One parent family",0,
,,,"Three or more family household: Other family",0,
,,,"Lone person household",0,
,,,"Group household",16,
,,"Four persons","One family household: Couple family with no children",7,
,,,"One family household: Couple family with children",886,
,,,"One family household: One parent family",74,
,,,"One family household: Other family",0,
,,,"Two family household: Couple family with no children",4,
,,,"Two family household: Couple family with children",0,
,,,"Two family household: One parent family",9,
,,,"Two family household: Other family",0,
,,,"Three or more family household: Couple family with no children",0,
,,,"Three or more family household: Couple family with children",0,
,,,"Three or more family household: One parent family",0,
,,,"Three or more family household: Other family",0,
,,,"Lone person household",0,
,,,"Group household",6,
,,"Five persons","One family household: Couple family with no children",0,
,,,"One family household: Couple family with children",352,
,,,"One family household: One parent family",10,
,,,"One family household: Other family",0,
,,,"Two family household: Couple family with no children",0,
,,,"Two family household: Couple family with children",7,
,,,"Two family household: One parent family",10,
,,,"Two family household: Other family",0,
,,,"Three or more family household: Couple family with no children",0,
,,,"Three or more family household: Couple family with children",0,
,,,"Three or more family household: One parent family",0,
,,,"Three or more family household: Other family",0,
,,,"Lone person household",0,
,,,"Group household",0,
,,"Six persons","One family household: Couple family with no children",0,
,,,"One family household: Couple family with children",83,
,,,"One family household: One parent family",4,
,,,"One family household: Other family",0,
,,,"Two family household: Couple family with no children",4,
,,,"Two family household: Couple family with children",4,
,,,"Two family household: One parent family",4,
,,,"Two family household: Other family",0,
,,,"Three or more family household: Couple family with no children",0,
,,,"Three or more family household: Couple family with children",0,
,,,"Three or more family household: One parent family",0,
,,,"Three or more family household: Other family",0,
,,,"Lone person household",0,
,,,"Group household",0,
,,"Seven persons","One family household: Couple family with no children",0,
,,,"One family household: Couple family with children",10,
,,,"One family household: One parent family",0,
,,,"One family household: Other family",0,
,,,"Two family household: Couple family with no children",0,
,,,"Two family household: Couple family with children",0,
,,,"Two family household: One parent family",0,
,,,"Two family household: Other family",0,
,,,"Three or more family household: Couple family with no children",0,
,,,"Three or more family household: Couple family with children",0,
,,,"Three or more family household: One parent family",0,
,,,"Three or more family household: Other family",0,
,,,"Lone person household",0,
,,,"Group household",0,
,,"Eight or more persons","One family household: Couple family with no children",0,
,,,"One family household: Couple family with children",4,
,,,"One family household: One parent family",0,
,,,"One family household: Other family",0,
,,,"Two family household: Couple family with no children",0,
,,,"Two family household: Couple family with children",5,
,,,"Two family household: One parent family",0,
,,,"Two family household: Other family",0,
,,,"Three or more family household: Couple family with no children",0,
,,,"Three or more family household: Couple family with children",0,
,,,"Three or more family household: One parent family",0,
,,,"Three or more family household: Other family",0,
,,,"Lone person household",0,
,,,"Group household",0,
,"Viewbank - Yallambie","One person","One family household: Couple family with no children",0,
,,,"One family household: Couple family with children",0,
,,,"One family household: One parent family",0,
,,,"One family household: Other family",0,
,,,"Two family household: Couple family with no children",0,
,,,"Two family household: Couple family with children",0,
,,,"Two family household: One parent family",0,
,,,"Two family household: Other family",0,
,,,"Three or more family household: Couple family with no children",0,
,,,"Three or more family household: Couple family with children",0,
,,,"Three or more family household: One parent family",0,
,,,"Three or more family household: Other family",0,
,,,"Lone person household",1411,
,,,"Group household",0,
,,"Two persons","One family household: Couple family with no children",1635,
,,,"One family household: Couple family with children",0,
,,,"One family household: One parent family",339,
,,,"One family household: Other family",41,
,,,"Two family household: Couple family with no children",0,
,,,"Two family household: Couple family with children",0,
,,,"Two family household: One parent family",0,
,,,"Two family household: Other family",0,
,,,"Three or more family household: Couple family with no children",0,
,,,"Three or more family household: Couple family with children",0,
,,,"Three or more family household: One parent family",0,
,,,"Three or more family household: Other family",0,
,,,"Lone person household",0,
,,,"Group household",124,
,,"Three persons","One family household: Couple family with no children",54,
,,,"One family household: Couple family with children",855,
,,,"One family household: One parent family",232,
,,,"One family household: Other family",11,
,,,"Two family household: Couple family with no children",0,
,,,"Two family household: Couple family with children",0,
,,,"Two family household: One parent family",0,
,,,"Two family household: Other family",0,
,,,"Three or more family household: Couple family with no children",0,
,,,"Three or more family household: Couple family with children",0,
,,,"Three or more family household: One parent family",0,
,,,"Three or more family household: Other family",0,
,,,"Lone person household",0,
,,,"Group household",30,
,,"Four persons","One family household: Couple family with no children",13,
,,,"One family household: Couple family with children",1092,
,,,"One family household: One parent family",90,
,,,"One family household: Other family",4,
,,,"Two family household: Couple family with no children",10,
,,,"Two family household: Couple family with children",0,
,,,"Two family household: One parent family",9,
,,,"Two family household: Other family",3,
,,,"Three or more family household: Couple family with no children",0,
,,,"Three or more family household: Couple family with children",0,
,,,"Three or more family household: One parent family",0,
,,,"Three or more family household: Other family",0,
,,,"Lone person household",0,
,,,"Group household",15,
,,"Five persons","One family household: Couple family with no children",0,
,,,"One family household: Couple family with children",362,
,,,"One family household: One parent family",20,
,,,"One family household: Other family",0,
,,,"Two family household: Couple family with no children",3,
,,,"Two family household: Couple family with children",9,
,,,"Two family household: One parent family",9,
,,,"Two family household: Other family",0,
,,,"Three or more family household: Couple family with no children",0,
,,,"Three or more family household: Couple family with children",0,
,,,"Three or more family household: One parent family",0,
,,,"Three or more family household: Other family",0,
,,,"Lone person household",0,
,,,"Group household",4,
,,"Six persons","One family household: Couple family with no children",0,
,,,"One family household: Couple family with children",80,
,,,"One family household: One parent family",6,
,,,"One family household: Other family",0,
,,,"Two family household: Couple family with no children",0,
,,,"Two family household: Couple family with children",11,
,,,"Two family household: One parent family",5,
,,,"Two family household: Other family",0,
,,,"Three or more family household: Couple family with no children",0,
,,,"Three or more family household: Couple family with children",0,
,,,"Three or more family household: One parent family",0,
,,,"Three or more family household: Other family",0,
,,,"Lone person household",0,
,,,"Group household",0,
,,"Seven persons","One family household: Couple family with no children",0,
,,,"One family household: Couple family with children",16,
,,,"One family household: One parent family",0,
,,,"One family household: Other family",0,
,,,"Two family household: Couple family with no children",0,
,,,"Two family household: Couple family with children",4,
,,,"Two family household: One parent family",0,
,,,"Two family household: Other family",0,
,,,"Three or more family household: Couple family with no children",0,
,,,"Three or more family household: Couple family with children",0,
,,,"Three or more family household: One parent family",0,
,,,"Three or more family household: Other family",0,
,,,"Lone person household",0,
,,,"Group household",0,
,,"Eight or more persons","One family household: Couple family with no children",0,
,,,"One family household: Couple family with children",5,
,,,"One family household: One parent family",0,
,,,"One family household: Other family",0,
,,,"Two family household: Couple family with no children",0,
,,,"Two family household: Couple family with children",4,
,,,"Two family household: One parent family",0,
,,,"Two family household: Other family",0,
,,,"Three or more family household: Couple family with no children",0,
,,,"Three or more family household: Couple family with children",0,
,,,"Three or more family household: One parent family",0,
,,,"Three or more family household: Other family",0,
,,,"Lone person household",0,
,,,"Group household",0,
,"Watsonia","One person","One family household: Couple family with no children",0,
,,,"One family household: Couple family with children",0,
,,,"One family household: One parent family",0,
,,,"One family household: Other family",0,
,,,"Two family household: Couple family with no children",0,
,,,"Two family household: Couple family with children",0,
,,,"Two family household: One parent family",0,
,,,"Two family household: Other family",0,
,,,"Three or more family household: Couple family with no children",0,
,,,"Three or more family household: Couple family with children",0,
,,,"Three or more family household: One parent family",0,
,,,"Three or more family household: Other family",0,
,,,"Lone person household",764,
,,,"Group household",0,
,,"Two persons","One family household: Couple family with no children",857,
,,,"One family household: Couple family with children",0,
,,,"One family household: One parent family",204,
,,,"One family household: Other family",28,
,,,"Two family household: Couple family with no children",0,
,,,"Two family household: Couple family with children",0,
,,,"Two family household: One parent family",0,
,,,"Two family household: Other family",0,
,,,"Three or more family household: Couple family with no children",0,
,,,"Three or more family household: Couple family with children",0,
,,,"Three or more family household: One parent family",0,
,,,"Three or more family household: Other family",0,
,,,"Lone person household",0,
,,,"Group household",72,
,,"Three persons","One family household: Couple family with no children",28,
,,,"One family household: Couple family with children",395,
,,,"One family household: One parent family",130,
,,,"One family household: Other family",7,
,,,"Two family household: Couple family with no children",0,
,,,"Two family household: Couple family with children",0,
,,,"Two family household: One parent family",0,
,,,"Two family household: Other family",0,
,,,"Three or more family household: Couple family with no children",0,
,,,"Three or more family household: Couple family with children",0,
,,,"Three or more family household: One parent family",0,
,,,"Three or more family household: Other family",0,
,,,"Lone person household",0,
,,,"Group household",20,
,,"Four persons","One family household: Couple family with no children",8,
,,,"One family household: Couple family with children",500,
,,,"One family household: One parent family",62,
,,,"One family household: Other family",3,
,,,"Two family household: Couple family with no children",9,
,,,"Two family household: Couple family with children",0,
,,,"Two family household: One parent family",5,
,,,"Two family household: Other family",0,
,,,"Three or more family household: Couple family with no children",0,
,,,"Three or more family household: Couple family with children",0,
,,,"Three or more family household: One parent family",0,
,,,"Three or more family household: Other family",0,
,,,"Lone person household",0,
,,,"Group household",3,
,,"Five persons","One family household: Couple family with no children",0,
,,,"One family household: Couple family with children",176,
,,,"One family household: One parent family",13,
,,,"One family household: Other family",0,
,,,"Two family household: Couple family with no children",0,
,,,"Two family household: Couple family with children",6,
,,,"Two family household: One parent family",4,
,,,"Two family household: Other family",0,
,,,"Three or more family household: Couple family with no children",0,
,,,"Three or more family household: Couple family with children",0,
,,,"Three or more family household: One parent family",0,
,,,"Three or more family household: Other family",0,
,,,"Lone person household",0,
,,,"Group household",8,
,,"Six persons","One family household: Couple family with no children",0,
,,,"One family household: Couple family with children",41,
,,,"One family household: One parent family",0,
,,,"One family household: Other family",0,
,,,"Two family household: Couple family with no children",0,
,,,"Two family household: Couple family with children",9,
,,,"Two family household: One parent family",0,
,,,"Two family household: Other family",0,
,,,"Three or more family household: Couple family with no children",0,
,,,"Three or more family household: Couple family with children",0,
,,,"Three or more family household: One parent family",0,
,,,"Three or more family household: Other family",0,
,,,"Lone person household",0,
,,,"Group household",0,
,,"Seven persons","One family household: Couple family with no children",0,
,,,"One family household: Couple family with children",16,
,,,"One family household: One parent family",0,
,,,"One family household: Other family",0,
,,,"Two family household: Couple family with no children",0,
,,,"Two family household: Couple family with children",0,
,,,"Two family household: One parent family",0,
,,,"Two family household: Other family",0,
,,,"Three or more family household: Couple family with no children",0,
,,,"Three or more family household: Couple family with children",0,
,,,"Three or more family household: One parent family",0,
,,,"Three or more family household: Other family",0,
,,,"Lone person household",0,
,,,"Group household",0,
,,"Eight or more persons","One family household: Couple family with no children",0,
,,,"One family household: Couple family with children",5,
,,,"One family household: One parent family",0,
,,,"One family household: Other family",0,
,,,"Two family household: Couple family with no children",0,
,,,"Two family household: Couple family with children",0,
,,,"Two family household: One parent family",0,
,,,"Two family household: Other family",0,
,,,"Three or more family household: Couple family with no children",0,
,,,"Three or more family household: Couple family with children",0,
,,,"Three or more family household: One parent family",0,
,,,"Three or more family household: Other family",0,
,,,"Lone person household",0,
,,,"Group household",0,
,"Kingsbury","One person","One family household: Couple family with no children",0,
,,,"One family household: Couple family with children",0,
,,,"One family household: One parent family",0,
,,,"One family household: Other family",0,
,,,"Two family household: Couple family with no children",0,
,,,"Two family household: Couple family with children",0,
,,,"Two family household: One parent family",0,
,,,"Two family household: Other family",0,
,,,"Three or more family household: Couple family with no children",0,
,,,"Three or more family household: Couple family with children",0,
,,,"Three or more family household: One parent family",0,
,,,"Three or more family household: Other family",0,
,,,"Lone person household",578,
,,,"Group household",0,
,,"Two persons","One family household: Couple family with no children",627,
,,,"One family household: Couple family with children",0,
,,,"One family household: One parent family",108,
,,,"One family household: Other family",36,
,,,"Two family household: Couple family with no children",0,
,,,"Two family household: Couple family with children",0,
,,,"Two family household: One parent family",0,
,,,"Two family household: Other family",0,
,,,"Three or more family household: Couple family with no children",0,
,,,"Three or more family household: Couple family with children",0,
,,,"Three or more family household: One parent family",0,
,,,"Three or more family household: Other family",0,
,,,"Lone person household",0,
,,,"Group household",110,
,,"Three persons","One family household: Couple family with no children",51,
,,,"One family household: Couple family with children",336,
,,,"One family household: One parent family",87,
,,,"One family household: Other family",11,
,,,"Two family household: Couple family with no children",0,
,,,"Two family household: Couple family with children",0,
,,,"Two family household: One parent family",0,
,,,"Two family household: Other family",0,
,,,"Three or more family household: Couple family with no children",0,
,,,"Three or more family household: Couple family with children",0,
,,,"Three or more family household: One parent family",0,
,,,"Three or more family household: Other family",0,
,,,"Lone person household",0,
,,,"Group household",56,
,,"Four persons","One family household: Couple family with no children",25,
,,,"One family household: Couple family with children",540,
,,,"One family household: One parent family",29,
,,,"One family household: Other family",0,
,,,"Two family household: Couple family with no children",13,
,,,"Two family household: Couple family with children",0,
,,,"Two family household: One parent family",6,
,,,"Two family household: Other family",0,
,,,"Three or more family household: Couple family with no children",0,
,,,"Three or more family household: Couple family with children",0,
,,,"Three or more family household: One parent family",0,
,,,"Three or more family household: Other family",0,
,,,"Lone person household",0,
,,,"Group household",54,
,,"Five persons","One family household: Couple family with no children",16,
,,,"One family household: Couple family with children",204,
,,,"One family household: One parent family",11,
,,,"One family household: Other family",0,
,,,"Two family household: Couple family with no children",0,
,,,"Two family household: Couple family with children",13,
,,,"Two family household: One parent family",8,
,,,"Two family household: Other family",0,
,,,"Three or more family household: Couple family with no children",0,
,,,"Three or more family household: Couple family with children",0,
,,,"Three or more family household: One parent family",0,
,,,"Three or more family household: Other family",0,
,,,"Lone person household",0,
,,,"Group household",22,
,,"Six persons","One family household: Couple family with no children",4,
,,,"One family household: Couple family with children",38,
,,,"One family household: One parent family",4,
,,,"One family household: Other family",0,
,,,"Two family household: Couple family with no children",0,
,,,"Two family household: Couple family with children",9,
,,,"Two family household: One parent family",6,
,,,"Two family household: Other family",0,
,,,"Three or more family household: Couple family with no children",0,
,,,"Three or more family household: Couple family with children",0,
,,,"Three or more family household: One parent family",0,
,,,"Three or more family household: Other family",0,
,,,"Lone person household",0,
,,,"Group household",31,
,,"Seven persons","One family household: Couple family with no children",0,
,,,"One family household: Couple family with children",12,
,,,"One family household: One parent family",0,
,,,"One family household: Other family",0,
,,,"Two family household: Couple family with no children",0,
,,,"Two family household: Couple family with children",3,
,,,"Two family household: One parent family",0,
,,,"Two family household: Other family",0,
,,,"Three or more family household: Couple family with no children",0,
,,,"Three or more family household: Couple family with children",0,
,,,"Three or more family household: One parent family",0,
,,,"Three or more family household: Other family",0,
,,,"Lone person household",0,
,,,"Group household",0,
,,"Eight or more persons","One family household: Couple family with no children",0,
,,,"One family household: Couple family with children",0,
,,,"One family household: One parent family",0,
,,,"One family household: Other family",0,
,,,"Two family household: Couple family with no children",0,
,,,"Two family household: Couple family with children",4,
,,,"Two family household: One parent family",0,
,,,"Two family household: Other family",0,
,,,"Three or more family household: Couple family with no children",0,
,,,"Three or more family household: Couple family with children",0,
,,,"Three or more family household: One parent family",0,
,,,"Three or more family household: Other family",0,
,,,"Lone person household",0,
,,,"Group household",4,
,"Preston","One person","One family household: Couple family with no children",0,
,,,"One family household: Couple family with children",0,
,,,"One family household: One parent family",0,
,,,"One family household: Other family",0,
,,,"Two family household: Couple family with no children",0,
,,,"Two family household: Couple family with children",0,
,,,"Two family household: One parent family",0,
,,,"Two family household: Other family",0,
,,,"Three or more family household: Couple family with no children",0,
,,,"Three or more family household: Couple family with children",0,
,,,"Three or more family household: One parent family",3,
,,,"Three or more family household: Other family",0,
,,,"Lone person household",2832,
,,,"Group household",0,
,,"Two persons","One family household: Couple family with no children",2246,
,,,"One family household: Couple family with children",0,
,,,"One family household: One parent family",620,
,,,"One family household: Other family",170,
,,,"Two family household: Couple family with no children",0,
,,,"Two family household: Couple family with children",0,
,,,"Two family household: One parent family",0,
,,,"Two family household: Other family",0,
,,,"Three or more family household: Couple family with no children",0,
,,,"Three or more family household: Couple family with children",0,
,,,"Three or more family household: One parent family",0,
,,,"Three or more family household: Other family",0,
,,,"Lone person household",0,
,,,"Group household",501,
,,"Three persons","One family household: Couple family with no children",160,
,,,"One family household: Couple family with children",1150,
,,,"One family household: One parent family",379,
,,,"One family household: Other family",44,
,,,"Two family household: Couple family with no children",0,
,,,"Two family household: Couple family with children",0,
,,,"Two family household: One parent family",0,
,,,"Two family household: Other family",0,
,,,"Three or more family household: Couple family with no children",0,
,,,"Three or more family household: Couple family with children",0,
,,,"Three or more family household: One parent family",0,
,,,"Three or more family household: Other family",0,
,,,"Lone person household",0,
,,,"Group household",223,
,,"Four persons","One family household: Couple family with no children",47,
,,,"One family household: Couple family with children",1406,
,,,"One family household: One parent family",138,
,,,"One family household: Other family",12,
,,,"Two family household: Couple family with no children",15,
,,,"Two family household: Couple family with children",0,
,,,"Two family household: One parent family",18,
,,,"Two family household: Other family",0,
,,,"Three or more family household: Couple family with no children",0,
,,,"Three or more family household: Couple family with children",0,
,,,"Three or more family household: One parent family",0,
,,,"Three or more family household: Other family",0,
,,,"Lone person household",0,
,,,"Group household",79,
,,"Five persons","One family household: Couple family with no children",16,
,,,"One family household: Couple family with children",503,
,,,"One family household: One parent family",31,
,,,"One family household: Other family",6,
,,,"Two family household: Couple family with no children",10,
,,,"Two family household: Couple family with children",22,
,,,"Two family household: One parent family",19,
,,,"Two family household: Other family",3,
,,,"Three or more family household: Couple family with no children",0,
,,,"Three or more family household: Couple family with children",0,
,,,"Three or more family household: One parent family",0,
,,,"Three or more family household: Other family",0,
,,,"Lone person household",0,
,,,"Group household",30,
,,"Six persons","One family household: Couple family with no children",9,
,,,"One family household: Couple family with children",134,
,,,"One family household: One parent family",20,
,,,"One family household: Other family",4,
,,,"Two family household: Couple family with no children",3,
,,,"Two family household: Couple family with children",35,
,,,"Two family household: One parent family",19,
,,,"Two family household: Other family",3,
,,,"Three or more family household: Couple family with no children",3,
,,,"Three or more family household: Couple family with children",0,
,,,"Three or more family household: One parent family",0,
,,,"Three or more family household: Other family",0,
,,,"Lone person household",0,
,,,"Group household",8,
,,"Seven persons","One family household: Couple family with no children",0,
,,,"One family household: Couple family with children",27,
,,,"One family household: One parent family",4,
,,,"One family household: Other family",0,
,,,"Two family household: Couple family with no children",0,
,,,"Two family household: Couple family with children",10,
,,,"Two family household: One parent family",0,
,,,"Two family household: Other family",0,
,,,"Three or more family household: Couple family with no children",0,
,,,"Three or more family household: Couple family with children",0,
,,,"Three or more family household: One parent family",0,
,,,"Three or more family household: Other family",0,
,,,"Lone person household",0,
,,,"Group household",0,
,,"Eight or more persons","One family household: Couple family with no children",0,
,,,"One family household: Couple family with children",9,
,,,"One family household: One parent family",3,
,,,"One family household: Other family",0,
,,,"Two family household: Couple family with no children",0,
,,,"Two family household: Couple family with children",6,
,,,"Two family household: One parent family",0,
,,,"Two family household: Other family",0,
,,,"Three or more family household: Couple family with no children",0,
,,,"Three or more family household: Couple family with children",5,
,,,"Three or more family household: One parent family",0,
