Australian Bureau of Statistics

"2011 Census - Counting Dwellings, Place of Enumeration"
"SA2, NPRD Number of Persons Usually Resident in Dwelling and HCFMD Family Household Composition (Dwelling)"
"Counting: Dwellings, Location on Census Night"

Filters:
"Default Summation","Dwellings, Location on Census Night"


"SA2","NPRD Number of Persons Usually Resident in Dwelling","HCFMD Family Household Composition (Dwelling)",
,,"Lone person household",0,
,,"Group household",135,
,"Three persons","One family household: Couple family with no children",43,
,,"One family household: Couple family with children",438,
,,"One family household: One parent family",115,
,,"One family household: Other family",5,
,,"Two family household: Couple family with no children",0,
,,"Two family household: Couple family with children",0,
,,"Two family household: One parent family",0,
,,"Two family household: Other family",0,
,,"Three or more family household: Couple family with no children",0,
,,"Three or more family household: One parent family",0,
,,"Three or more family household: Couple family with children",0,
,,"Three or more family household: Other family",0,
,,"Lone person household",0,
,,"Group household",40,
,"Four persons","One family household: Couple family with no children",3,
,,"One family household: Couple family with children",711,
,,"One family household: One parent family",42,
,,"One family household: Other family",3,
,,"Two family household: Couple family with no children",6,
,,"Two family household: Couple family with children",0,
,,"Two family household: One parent family",9,
,,"Two family household: Other family",0,
,,"Three or more family household: Couple family with no children",0,
,,"Three or more family household: One parent family",0,
,,"Three or more family household: Couple family with children",0,
,,"Three or more family household: Other family",0,
,,"Lone person household",0,
,,"Group household",13,
,"Five persons","One family household: Couple family with no children",0,
,,"One family household: Couple family with children",241,
,,"One family household: One parent family",15,
,,"One family household: Other family",0,
,,"Two family household: Couple family with no children",0,
,,"Two family household: Couple family with children",3,
,,"Two family household: One parent family",0,
,,"Two family household: Other family",0,
,,"Three or more family household: Couple family with no children",0,
,,"Three or more family household: One parent family",0,
,,"Three or more family household: Couple family with children",0,
,,"Three or more family household: Other family",0,
,,"Lone person household",0,
,,"Group household",4,
,"Six persons","One family household: Couple family with no children",0,
,,"One family household: Couple family with children",45,
,,"One family household: One parent family",0,
,,"One family household: Other family",0,
,,"Two family household: Couple family with no children",3,
,,"Two family household: Couple family with children",9,
,,"Two family household: One parent family",0,
,,"Two family household: Other family",0,
,,"Three or more family household: Couple family with no children",0,
,,"Three or more family household: One parent family",0,
,,"Three or more family household: Couple family with children",0,
,,"Three or more family household: Other family",0,
,,"Lone person household",0,
,,"Group household",0,
,"Seven persons","One family household: Couple family with no children",0,
,,"One family household: Couple family with children",6,
,,"One family household: One parent family",0,
,,"One family household: Other family",0,
,,"Two family household: Couple family with no children",0,
,,"Two family household: Couple family with children",4,
,,"Two family household: One parent family",0,
,,"Two family household: Other family",0,
,,"Three or more family household: Couple family with no children",0,
,,"Three or more family household: One parent family",0,
,,"Three or more family household: Couple family with children",0,
,,"Three or more family household: Other family",0,
,,"Lone person household",0,
,,"Group household",0,
,"Eight or more persons","One family household: Couple family with no children",0,
,,"One family household: Couple family with children",3,
,,"One family household: One parent family",0,
,,"One family household: Other family",0,
,,"Two family household: Couple family with no children",0,
,,"Two family household: Couple family with children",0,
,,"Two family household: One parent family",0,
,,"Two family household: Other family",0,
,,"Three or more family household: Couple family with no children",0,
,,"Three or more family household: One parent family",0,
,,"Three or more family household: Couple family with children",0,
,,"Three or more family household: Other family",0,
,,"Lone person household",0,
,,"Group household",0,
"Ivanhoe East - Eaglemont","One person","One family household: Couple family with no children",0,
,,"One family household: Couple family with children",0,
,,"One family household: One parent family",0,
,,"One family household: Other family",0,
,,"Two family household: Couple family with no children",0,
,,"Two family household: Couple family with children",0,
,,"Two family household: One parent family",0,
,,"Two family household: Other family",0,
,,"Three or more family household: Couple family with no children",0,
,,"Three or more family household: One parent family",0,
,,"Three or more family household: Couple family with children",0,
,,"Three or more family household: Other family",0,
,,"Lone person household",556,
,,"Group household",0,
,"Two persons","One family household: Couple family with no children",596,
,,"One family household: Couple family with children",0,
,,"One family household: One parent family",100,
,,"One family household: Other family",22,
,,"Two family household: Couple family with no children",0,
,,"Two family household: Couple family with children",0,
,,"Two family household: One parent family",0,
,,"Two family household: Other family",0,
,,"Three or more family household: Couple family with no children",0,
,,"Three or more family household: One parent family",0,
,,"Three or more family household: Couple family with children",0,
,,"Three or more family household: Other family",0,
,,"Lone person household",0,
,,"Group household",45,
,"Three persons","One family household: Couple family with no children",10,
,,"One family household: Couple family with children",361,
,,"One family household: One parent family",68,
,,"One family household: Other family",5,
,,"Two family household: Couple family with no children",0,
,,"Two family household: Couple family with children",0,
,,"Two family household: One parent family",0,
,,"Two family household: Other family",0,
,,"Three or more family household: Couple family with no children",0,
,,"Three or more family household: One parent family",0,
,,"Three or more family household: Couple family with children",0,
,,"Three or more family household: Other family",0,
,,"Lone person household",0,
,,"Group household",12,
,"Four persons","One family household: Couple family with no children",0,
,,"One family household: Couple family with children",538,
,,"One family household: One parent family",27,
,,"One family household: Other family",0,
,,"Two family household: Couple family with no children",6,
,,"Two family household: Couple family with children",0,
,,"Two family household: One parent family",4,
,,"Two family household: Other family",0,
,,"Three or more family household: Couple family with no children",0,
,,"Three or more family household: One parent family",0,
,,"Three or more family household: Couple family with children",0,
,,"Three or more family household: Other family",0,
,,"Lone person household",0,
,,"Group household",6,
,"Five persons","One family household: Couple family with no children",0,
,,"One family household: Couple family with children",242,
,,"One family household: One parent family",3,
,,"One family household: Other family",0,
,,"Two family household: Couple family with no children",0,
,,"Two family household: Couple family with children",4,
,,"Two family household: One parent family",4,
,,"Two family household: Other family",0,
,,"Three or more family household: Couple family with no children",0,
,,"Three or more family household: One parent family",0,
,,"Three or more family household: Couple family with children",0,
,,"Three or more family household: Other family",0,
,,"Lone person household",0,
,,"Group household",0,
,"Six persons","One family household: Couple family with no children",0,
,,"One family household: Couple family with children",43,
,,"One family household: One parent family",0,
,,"One family household: Other family",0,
,,"Two family household: Couple family with no children",0,
,,"Two family household: Couple family with children",5,
,,"Two family household: One parent family",0,
,,"Two family household: Other family",0,
,,"Three or more family household: Couple family with no children",0,
,,"Three or more family household: One parent family",0,
,,"Three or more family household: Couple family with children",0,
,,"Three or more family household: Other family",0,
,,"Lone person household",0,
,,"Group household",0,
,"Seven persons","One family household: Couple family with no children",0,
,,"One family household: Couple family with children",9,
,,"One family household: One parent family",0,
,,"One family household: Other family",0,
,,"Two family household: Couple family with no children",0,
,,"Two family household: Couple family with children",0,
,,"Two family household: One parent family",0,
,,"Two family household: Other family",0,
,,"Three or more family household: Couple family with no children",0,
,,"Three or more family household: One parent family",0,
,,"Three or more family household: Couple family with children",0,
,,"Three or more family household: Other family",0,
,,"Lone person household",0,
,,"Group household",0,
,"Eight or more persons","One family household: Couple family with no children",0,
,,"One family household: Couple family with children",0,
,,"One family household: One parent family",0,
,,"One family household: Other family",0,
,,"Two family household: Couple family with no children",0,
,,"Two family household: Couple family with children",0,
,,"Two family household: One parent family",0,
,,"Two family household: Other family",0,
,,"Three or more family household: Couple family with no children",0,
,,"Three or more family household: One parent family",0,
,,"Three or more family household: Couple family with children",0,
,,"Three or more family household: Other family",0,
,,"Lone person household",0,
,,"Group household",0,
"Montmorency - Briar Hill","One person","One family household: Couple family with no children",0,
,,"One family household: Couple family with children",0,
,,"One family household: One parent family",0,
,,"One family household: Other family",0,
,,"Two family household: Couple family with no children",0,
,,"Two family household: Couple family with children",0,
,,"Two family household: One parent family",0,
,,"Two family household: Other family",0,
,,"Three or more family household: Couple family with no children",0,
,,"Three or more family household: One parent family",0,
,,"Three or more family household: Couple family with children",0,
,,"Three or more family household: Other family",0,
,,"Lone person household",1452,
,,"Group household",0,
,"Two persons","One family household: Couple family with no children",1537,
,,"One family household: Couple family with children",0,
,,"One family household: One parent family",356,
,,"One family household: Other family",55,
,,"Two family household: Couple family with no children",0,
,,"Two family household: Couple family with children",0,
,,"Two family household: One parent family",0,
,,"Two family household: Other family",0,
,,"Three or more family household: Couple family with no children",0,
,,"Three or more family household: One parent family",0,
,,"Three or more family household: Couple family with children",0,
,,"Three or more family household: Other family",0,
,,"Lone person household",0,
,,"Group household",131,
,"Three persons","One family household: Couple family with no children",33,
,,"One family household: Couple family with children",653,
,,"One family household: One parent family",224,
,,"One family household: Other family",14,
,,"Two family household: Couple family with no children",0,
,,"Two family household: Couple family with children",0,
,,"Two family household: One parent family",0,
,,"Two family household: Other family",0,
,,"Three or more family household: Couple family with no children",0,
,,"Three or more family household: One parent family",0,
,,"Three or more family household: Couple family with children",0,
,,"Three or more family household: Other family",0,
,,"Lone person household",0,
,,"Group household",18,
,"Four persons","One family household: Couple family with no children",4,
,,"One family household: Couple family with children",887,
,,"One family household: One parent family",72,
,,"One family household: Other family",0,
,,"Two family household: Couple family with no children",5,
,,"Two family household: Couple family with children",0,
,,"Two family household: One parent family",9,
,,"Two family household: Other family",0,
,,"Three or more family household: Couple family with no children",0,
,,"Three or more family household: One parent family",0,
,,"Three or more family household: Couple family with children",0,
,,"Three or more family household: Other family",0,
,,"Lone person household",0,
,,"Group household",6,
,"Five persons","One family household: Couple family with no children",0,
,,"One family household: Couple family with children",350,
,,"One family household: One parent family",9,
,,"One family household: Other family",0,
,,"Two family household: Couple family with no children",0,
,,"Two family household: Couple family with children",6,
,,"Two family household: One parent family",8,
,,"Two family household: Other family",0,
,,"Three or more family household: Couple family with no children",0,
,,"Three or more family household: One parent family",0,
,,"Three or more family household: Couple family with children",0,
,,"Three or more family household: Other family",0,
,,"Lone person household",0,
,,"Group household",0,
,"Six persons","One family household: Couple family with no children",0,
,,"One family household: Couple family with children",83,
,,"One family household: One parent family",3,
,,"One family household: Other family",0,
,,"Two family household: Couple family with no children",3,
,,"Two family household: Couple family with children",3,
,,"Two family household: One parent family",3,
,,"Two family household: Other family",0,
,,"Three or more family household: Couple family with no children",0,
,,"Three or more family household: One parent family",0,
,,"Three or more family household: Couple family with children",0,
,,"Three or more family household: Other family",0,
,,"Lone person household",0,
,,"Group household",0,
,"Seven persons","One family household: Couple family with no children",0,
,,"One family household: Couple family with children",9,
,,"One family household: One parent family",0,
,,"One family household: Other family",0,
,,"Two family household: Couple family with no children",0,
,,"Two family household: Couple family with children",0,
,,"Two family household: One parent family",0,
,,"Two family household: Other family",0,
,,"Three or more family household: Couple family with no children",0,
,,"Three or more family household: One parent family",0,
,,"Three or more family household: Couple family with children",0,
,,"Three or more family household: Other family",0,
,,"Lone person household",0,
,,"Group household",0,
,"Eight or more persons","One family household: Couple family with no children",0,
,,"One family household: Couple family with children",3,
,,"One family household: One parent family",0,
,,"One family household: Other family",0,
,,"Two family household: Couple family with no children",0,
,,"Two family household: Couple family with children",4,
,,"Two family household: One parent family",0,
,,"Two family household: Other family",0,
,,"Three or more family household: Couple family with no children",0,
,,"Three or more family household: One parent family",0,
,,"Three or more family household: Couple family with children",0,
,,"Three or more family household: Other family",0,
,,"Lone person household",0,
,,"Group household",0,
"Viewbank - Yallambie","One person","One family household: Couple family with no children",0,
,,"One family household: Couple family with children",0,
,,"One family household: One parent family",0,
,,"One family household: Other family",0,
,,"Two family household: Couple family with no children",0,
,,"Two family household: Couple family with children",0,
,,"Two family household: One parent family",0,
,,"Two family household: Other family",0,
,,"Three or more family household: Couple family with no children",0,
,,"Three or more family household: One parent family",0,
,,"Three or more family household: Couple family with children",0,
,,"Three or more family household: Other family",0,
,,"Lone person household",1410,
,,"Group household",0,
,"Two persons","One family household: Couple family with no children",1634,
,,"One family household: Couple family with children",0,
,,"One family household: One parent family",338,
,,"One family household: Other family",40,
,,"Two family household: Couple family with no children",0,
,,"Two family household: Couple family with children",0,
,,"Two family household: One parent family",0,
,,"Two family household: Other family",0,
,,"Three or more family household: Couple family with no children",0,
,,"Three or more family household: One parent family",0,
,,"Three or more family household: Couple family with children",0,
,,"Three or more family household: Other family",0,
,,"Lone person household",0,
,,"Group household",123,
,"Three persons","One family household: Couple family with no children",50,
,,"One family household: Couple family with children",856,
,,"One family household: One parent family",231,
,,"One family household: Other family",11,
,,"Two family household: Couple family with no children",0,
,,"Two family household: Couple family with children",0,
,,"Two family household: One parent family",0,
,,"Two family household: Other family",0,
,,"Three or more family household: Couple family with no children",0,
,,"Three or more family household: One parent family",0,
,,"Three or more family household: Couple family with children",0,
,,"Three or more family household: Other family",0,
,,"Lone person household",0,
,,"Group household",30,
,"Four persons","One family household: Couple family with no children",11,
,,"One family household: Couple family with children",1096,
,,"One family household: One parent family",90,
,,"One family household: Other family",3,
,,"Two family household: Couple family with no children",8,
,,"Two family household: Couple family with children",0,
,,"Two family household: One parent family",11,
,,"Two family household: Other family",0,
,,"Three or more family household: Couple family with no children",0,
,,"Three or more family household: One parent family",0,
,,"Three or more family household: Couple family with children",0,
,,"Three or more family household: Other family",0,
,,"Lone person household",0,
,,"Group household",15,
,"Five persons","One family household: Couple family with no children",0,
,,"One family household: Couple family with children",361,
,,"One family household: One parent family",19,
,,"One family household: Other family",0,
,,"Two family household: Couple family with no children",0,
,,"Two family household: Couple family with children",10,
,,"Two family household: One parent family",9,
,,"Two family household: Other family",0,
,,"Three or more family household: Couple family with no children",0,
,,"Three or more family household: One parent family",0,
,,"Three or more family household: Couple family with children",0,
,,"Three or more family household: Other family",0,
,,"Lone person household",0,
,,"Group household",3,
,"Six persons","One family household: Couple family with no children",0,
,,"One family household: Couple family with children",81,
,,"One family household: One parent family",4,
,,"One family household: Other family",0,
,,"Two family household: Couple family with no children",0,
,,"Two family household: Couple family with children",10,
,,"Two family household: One parent family",3,
,,"Two family household: Other family",0,
,,"Three or more family household: Couple family with no children",0,
,,"Three or more family household: One parent family",0,
,,"Three or more family household: Couple family with children",0,
,,"Three or more family household: Other family",0,
,,"Lone person household",0,
,,"Group household",0,
,"Seven persons","One family household: Couple family with no children",0,
,,"One family household: Couple family with children",15,
,,"One family household: One parent family",0,
,,"One family household: Other family",0,
,,"Two family household: Couple family with no children",0,
,,"Two family household: Couple family with children",3,
,,"Two family household: One parent family",0,
,,"Two family household: Other family",0,
,,"Three or more family household: Couple family with no children",0,
,,"Three or more family household: One parent family",0,
,,"Three or more family household: Couple family with children",0,
,,"Three or more family household: Other family",0,
,,"Lone person household",0,
,,"Group household",0,
,"Eight or more persons","One family household: Couple family with no children",0,
,,"One family household: Couple family with children",5,
,,"One family household: One parent family",0,
,,"One family household: Other family",0,
,,"Two family household: Couple family with no children",0,
,,"Two family household: Couple family with children",4,
,,"Two family household: One parent family",0,
,,"Two family household: Other family",0,
,,"Three or more family household: Couple family with no children",0,
,,"Three or more family household: One parent family",0,
,,"Three or more family household: Couple family with children",0,
,,"Three or more family household: Other family",0,
,,"Lone person household",0,
,,"Group household",0,
"Watsonia","One person","One family household: Couple family with no children",0,
,,"One family household: Couple family with children",0,
,,"One family household: One parent family",0,
,,"One family household: Other family",0,
,,"Two family household: Couple family with no children",0,
,,"Two family household: Couple family with children",0,
,,"Two family household: One parent family",0,
,,"Two family household: Other family",0,
,,"Three or more family household: Couple family with no children",0,
,,"Three or more family household: One parent family",0,
,,"Three or more family household: Couple family with children",0,
,,"Three or more family household: Other family",0,
,,"Lone person household",764,
,,"Group household",0,
,"Two persons","One family household: Couple family with no children",856,
,,"One family household: Couple family with children",0,
,,"One family household: One parent family",204,
,,"One family household: Other family",29,
,,"Two family household: Couple family with no children",0,
,,"Two family household: Couple family with children",0,
,,"Two family household: One parent family",0,
,,"Two family household: Other family",0,
,,"Three or more family household: Couple family with no children",0,
,,"Three or more family household: One parent family",0,
,,"Three or more family household: Couple family with children",0,
,,"Three or more family household: Other family",0,
,,"Lone person household",0,
,,"Group household",71,
,"Three persons","One family household: Couple family with no children",26,
,,"One family household: Couple family with children",395,
,,"One family household: One parent family",131,
,,"One family household: Other family",7,
,,"Two family household: Couple family with no children",0,
,,"Two family household: Couple family with children",0,
,,"Two family household: One parent family",0,
,,"Two family household: Other family",0,
,,"Three or more family household: Couple family with no children",0,
,,"Three or more family household: One parent family",0,
,,"Three or more family household: Couple family with children",0,
,,"Three or more family household: Other family",0,
,,"Lone person household",0,
,,"Group household",20,
,"Four persons","One family household: Couple family with no children",7,
,,"One family household: Couple family with children",502,
,,"One family household: One parent family",61,
,,"One family household: Other family",3,
,,"Two family household: Couple family with no children",10,
,,"Two family household: Couple family with children",0,
,,"Two family household: One parent family",5,
,,"Two family household: Other family",0,
,,"Three or more family household: Couple family with no children",0,
,,"Three or more family household: One parent family",0,
,,"Three or more family household: Couple family with children",0,
,,"Three or more family household: Other family",0,
,,"Lone person household",0,
,,"Group household",4,
,"Five persons","One family household: Couple family with no children",0,
,,"One family household: Couple family with children",176,
,,"One family household: One parent family",14,
,,"One family household: Other family",0,
,,"Two family household: Couple family with no children",0,
,,"Two family household: Couple family with children",7,
,,"Two family household: One parent family",4,
,,"Two family household: Other family",0,
,,"Three or more family household: Couple family with no children",0,
,,"Three or more family household: One parent family",0,
,,"Three or more family household: Couple family with children",0,
,,"Three or more family household: Other family",0,
,,"Lone person household",0,
,,"Group household",9,
,"Six persons","One family household: Couple family with no children",0,
,,"One family household: Couple family with children",40,
,,"One family household: One parent family",0,
,,"One family household: Other family",0,
,,"Two family household: Couple family with no children",0,
,,"Two family household: Couple family with children",8,
,,"Two family household: One parent family",0,
,,"Two family household: Other family",0,
,,"Three or more family household: Couple family with no children",0,
,,"Three or more family household: One parent family",0,
,,"Three or more family household: Couple family with children",0,
,,"Three or more family household: Other family",0,
,,"Lone person household",0,
,,"Group household",0,
,"Seven persons","One family household: Couple family with no children",0,
,,"One family household: Couple family with children",14,
,,"One family household: One parent family",0,
,,"One family household: Other family",0,
,,"Two family household: Couple family with no children",0,
,,"Two family household: Couple family with children",0,
,,"Two family household: One parent family",0,
,,"Two family household: Other family",0,
,,"Three or more family household: Couple family with no children",0,
,,"Three or more family household: One parent family",0,
,,"Three or more family household: Couple family with children",0,
,,"Three or more family household: Other family",0,
,,"Lone person household",0,
,,"Group household",0,
,"Eight or more persons","One family household: Couple family with no children",0,
,,"One family household: Couple family with children",4,
,,"One family household: One parent family",0,
,,"One family household: Other family",0,
,,"Two family household: Couple family with no children",0,
,,"Two family household: Couple family with children",0,
,,"Two family household: One parent family",0,
,,"Two family household: Other family",0,
,,"Three or more family household: Couple family with no children",0,
,,"Three or more family household: One parent family",0,
,,"Three or more family household: Couple family with children",0,
,,"Three or more family household: Other family",0,
,,"Lone person household",0,
,,"Group household",0,
"Kingsbury","One person","One family household: Couple family with no children",0,
,,"One family household: Couple family with children",0,
,,"One family household: One parent family",0,
,,"One family household: Other family",0,
,,"Two family household: Couple family with no children",0,
,,"Two family household: Couple family with children",0,
,,"Two family household: One parent family",0,
,,"Two family household: Other family",0,
,,"Three or more family household: Couple family with no children",0,
,,"Three or more family household: One parent family",0,
,,"Three or more family household: Couple family with children",0,
,,"Three or more family household: Other family",0,
,,"Lone person household",578,
,,"Group household",0,
,"Two persons","One family household: Couple family with no children",627,
,,"One family household: Couple family with children",0,
,,"One family household: One parent family",108,
,,"One family household: Other family",37,
,,"Two family household: Couple family with no children",0,
,,"Two family household: Couple family with children",0,
,,"Two family household: One parent family",0,
,,"Two family household: Other family",0,
,,"Three or more family household: Couple family with no children",0,
,,"Three or more family household: One parent family",0,
,,"Three or more family household: Couple family with children",0,
,,"Three or more family household: Other family",0,
,,"Lone person household",0,
,,"Group household",111,
,"Three persons","One family household: Couple family with no children",50,
,,"One family household: Couple family with children",335,
,,"One family household: One parent family",87,
,,"One family household: Other family",11,
,,"Two family household: Couple family with no children",0,
,,"Two family household: Couple family with children",0,
,,"Two family household: One parent family",0,
,,"Two family household: Other family",0,
,,"Three or more family household: Couple family with no children",0,
,,"Three or more family household: One parent family",0,
,,"Three or more family household: Couple family with children",0,
,,"Three or more family household: Other family",0,
,,"Lone person household",0,
,,"Group household",59,
,"Four persons","One family household: Couple family with no children",25,
,,"One family household: Couple family with children",540,
,,"One family household: One parent family",28,
,,"One family household: Other family",0,
,,"Two family household: Couple family with no children",12,
,,"Two family household: Couple family with children",0,
,,"Two family household: One parent family",4,
,,"Two family household: Other family",0,
,,"Three or more family household: Couple family with no children",0,
,,"Three or more family household: One parent family",0,
,,"Three or more family household: Couple family with children",0,
,,"Three or more family household: Other family",0,
,,"Lone person household",0,
,,"Group household",55,
,"Five persons","One family household: Couple family with no children",13,
,,"One family household: Couple family with children",202,
,,"One family household: One parent family",10,
,,"One family household: Other family",0,
,,"Two family household: Couple family with no children",0,
,,"Two family household: Couple family with children",13,
,,"Two family household: One parent family",6,
,,"Two family household: Other family",0,
,,"Three or more family household: Couple family with no children",0,
,,"Three or more family household: One parent family",0,
,,"Three or more family household: Couple family with children",0,
,,"Three or more family household: Other family",0,
,,"Lone person household",0,
,,"Group household",23,
,"Six persons","One family household: Couple family with no children",4,
,,"One family household: Couple family with children",37,
,,"One family household: One parent family",4,
,,"One family household: Other family",0,
,,"Two family household: Couple family with no children",0,
,,"Two family household: Couple family with children",10,
,,"Two family household: One parent family",4,
,,"Two family household: Other family",0,
,,"Three or more family household: Couple family with no children",0,
,,"Three or more family household: One parent family",0,
,,"Three or more family household: Couple family with children",0,
,,"Three or more family household: Other family",0,
,,"Lone person household",0,
,,"Group household",30,
,"Seven persons","One family household: Couple family with no children",0,
,,"One family household: Couple family with children",12,
,,"One family household: One parent family",0,
,,"One family household: Other family",0,
,,"Two family household: Couple family with no children",0,
,,"Two family household: Couple family with children",3,
,,"Two family household: One parent family",0,
,,"Two family household: Other family",0,
,,"Three or more family household: Couple family with no children",0,
,,"Three or more family household: One parent family",0,
,,"Three or more family household: Couple family with children",0,
,,"Three or more family household: Other family",0,
,,"Lone person household",0,
,,"Group household",0,
,"Eight or more persons","One family household: Couple family with no children",0,
,,"One family household: Couple family with children",0,
,,"One family household: One parent family",0,
,,"One family household: Other family",0,
,,"Two family household: Couple family with no children",0,
,,"Two family household: Couple family with children",3,
,,"Two family household: One parent family",0,
,,"Two family household: Other family",0,
,,"Three or more family household: Couple family with no children",0,
,,"Three or more family household: One parent family",0,
,,"Three or more family household: Couple family with children",0,
,,"Three or more family household: Other family",0,
,,"Lone person household",0,
,,"Group household",3,
"Preston","One person","One family household: Couple family with no children",0,
,,"One family household: Couple family with children",0,
,,"One family household: One parent family",0,
,,"One family household: Other family",0,
,,"Two family household: Couple family with no children",0,
,,"Two family household: Couple family with children",0,
,,"Two family household: One parent family",0,
,,"Two family household: Other family",0,
,,"Three or more family household: Couple family with no children",0,
,,"Three or more family household: One parent family",0,
,,"Three or more family household: Couple family with children",0,
,,"Three or more family household: Other family",0,
,,"Lone person household",2833,
,,"Group household",0,
,"Two persons","One family household: Couple family with no children",2248,
,,"One family household: Couple family with children",0,
,,"One family household: One parent family",621,
,,"One family household: Other family",173,
,,"Two family household: Couple family with no children",0,
,,"Two family household: Couple family with children",0,
,,"Two family household: One parent family",0,
,,"Two family household: Other family",0,
,,"Three or more family household: Couple family with no children",0,
,,"Three or more family household: One parent family",0,
,,"Three or more family household: Couple family with children",0,
,,"Three or more family household: Other family",0,
,,"Lone person household",0,
,,"Group household",499,
,"Three persons","One family household: Couple family with no children",162,
,,"One family household: Couple family with children",1150,
,,"One family household: One parent family",382,
,,"One family household: Other family",47,
,,"Two family household: Couple family with no children",0,
,,"Two family household: Couple family with children",0,
,,"Two family household: One parent family",0,
,,"Two family household: Other family",0,
,,"Three or more family household: Couple family with no children",0,
,,"Three or more family household: One parent family",0,
,,"Three or more family household: Couple family with children",0,
,,"Three or more family household: Other family",0,
,,"Lone person household",0,
,,"Group household",222,
,"Four persons","One family household: Couple family with no children",48,
,,"One family household: Couple family with children",1407,
,,"One family household: One parent family",138,
,,"One family household: Other family",11,
,,"Two family household: Couple family with no children",16,
,,"Two family household: Couple family with children",0,
,,"Two family household: One parent family",18,
,,"Two family household: Other family",0,
,,"Three or more family household: Couple family with no children",0,
,,"Three or more family household: One parent family",0,
,,"Three or more family household: Couple family with children",0,
,,"Three or more family household: Other family",0,
,,"Lone person household",0,
,,"Group household",78,
,"Five persons","One family household: Couple family with no children",16,
,,"One family household: Couple family with children",502,
,,"One family household: One parent family",34,
,,"One family household: Other family",9,
,,"Two family household: Couple family with no children",10,
,,"Two family household: Couple family with children",21,
,,"Two family household: One parent family",19,
,,"Two family household: Other family",0,
,,"Three or more family household: Couple family with no children",0,
,,"Three or more family household: One parent family",0,
,,"Three or more family household: Couple family with children",0,
,,"Three or more family household: Other family",0,
,,"Lone person household",0,
,,"Group household",29,
,"Six persons","One family household: Couple family with no children",10,
,,"One family household: Couple family with children",134,
,,"One family household: One parent family",23,
,,"One family household: Other family",3,
,,"Two family household: Couple family with no children",3,
,,"Two family household: Couple family with children",34,
,,"Two family household: One parent family",18,
,,"Two family household: Other family",0,
,,"Three or more family household: Couple family with no children",0,
,,"Three or more family household: One parent family",0,
,,"Three or more family household: Couple family with children",0,
,,"Three or more family household: Other family",0,
,,"Lone person household",0,
,,"Group household",7,
,"Seven persons","One family household: Couple family with no children",0,
,,"One family household: Couple family with children",26,
,,"One family household: One parent family",4,
,,"One family household: Other family",0,
,,"Two family household: Couple family with no children",0,
,,"Two family household: Couple family with children",9,
,,"Two family household: One parent family",0,
,,"Two family household: Other family",0,
,,"Three or more family household: Couple family with no children",0,
,,"Three or more family household: One parent family",0,
,,"Three or more family household: Couple family with children",0,
,,"Three or more family household: Other family",0,
,,"Lone person household",0,
,,"Group household",0,
,"Eight or more persons","One family household: Couple family with no children",0,
,,"One family household: Couple family with children",10,
,,"One family household: One parent family",3,
,,"One family household: Other family",0,
,,"Two family household: Couple family with no children",0,
,,"Two family household: Couple family with children",5,
,,"Two family household: One parent family",0,
,,"Two family household: Other family",0,
,,"Three or more family household: Couple family with no children",0,
,,"Three or more family household: One parent family",0,
,,"Three or more family household: Couple family with children",3,
,,"Three or more family household: Other family",0,
,,"Lone person household",0,
,,"Group household",0,
"Reservoir - East","One person","One family household: Couple family with no children",0,
,,"One family household: Couple family with children",0,
,,"One family household: One parent family",0,
,,"One family household: Other family",0,
,,"Two family household: Couple family with no children",0,
,,"Two family household: Couple family with children",0,
,,"Two family household: One parent family",0,
,,"Two family household: Other family",0,
,,"Three or more family household: Couple family with no children",0,
,,"Three or more family household: One parent family",0,
,,"Three or more family household: Couple family with children",0,
,,"Three or more family household: Other family",0,
,,"Lone person household",2991,
,,"Group household",0,
,"Two persons","One family household: Couple family with no children",1932,
,,"One family household: Couple family with children",0,
,,"One family household: One parent family",619,
,,"One family household: Other family",153,
,,"Two family household: Couple family with no children",0,
,,"Two family household: Couple family with children",0,
,,"Two family household: One parent family",0,
,,"Two family household: Other family",0,
,,"Three or more family household: Couple family with no children",0,
,,"Three or more family household: One parent family",0,
,,"Three or more family household: Couple family with children",0,
,,"Three or more family household: Other family",0,
,,"Lone person household",0,
,,"Group household",307,
,"Three persons","One family household: Couple family with no children",115,
,,"One family household: Couple family with children",907,
,,"One family household: One parent family",344,
,,"One family household: Other family",42,
,,"Two family household: Couple family with no children",0,
,,"Two family household: Couple family with children",0,
,,"Two family household: One parent family",0,
,,"Two family household: Other family",0,
,,"Three or more family household: Couple family with no children",0,
,,"Three or more family household: One parent family",0,
,,"Three or more family household: Couple family with children",0,
,,"Three or more family household: Other family",0,
,,"Lone person household",0,
,,"Group household",105,
,"Four persons","One family household: Couple family with no children",23,
,,"One family household: Couple family with children",999,
,,"One family household: One parent family",142,
,,"One family household: Other family",16,
,,"Two family household: Couple family with no children",24,
,,"Two family household: Couple family with children",0,
,,"Two family household: One parent family",20,
,,"Two family household: Other family",0,
,,"Three or more family household: Couple family with no children",0,
,,"Three or more family household: One parent family",0,
,,"Three or more family household: Couple family with children",0,
,,"Three or more family household: Other family",0,
,,"Lone person household",0,
,,"Group household",49,
,"Five persons","One family household: Couple family with no children",11,
,,"One family household: Couple family with children",369,
,,"One family household: One parent family",40,
,,"One family household: Other family",8,
,,"Two family household: Couple family with no children",6,
,,"Two family household: Couple family with children",35,
,,"Two family household: One parent family",23,
,,"Two family household: Other family",0,
